point,dateBegin,dateEnd,time,contact,phone,event,url
慶安宮,2021-05-09,2021-05-09,7時至12時30分,方先生,,武陣大會師,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7760769
開基姑媽宮,2021-08-13,2021-08-13,13時30分至17時,邱先生,7951877,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7791072
信和禪寺,2021-08-20,2021-08-20,14時至17時30分,蔡小姐,7952014,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
